serial_num,subject_code,course_type,lab_or_lecture,department,branch,batch,faculty_code,floor,room_num,day,start_time,end_time,year,duration
185.0,OS,PC,lab,CE,COMPSB,D,SK,6,606A,tuesday,09:00:00,11:00:00,SE,2
186.0,DAA,PC,lab,CE,COMPSB,C,PBB,6,606B,tuesday,09:00:00,11:00:00,SE,2
187.0,PCS,SBC,lab,CE,COMPSB,A,DN,6,607B,tuesday,09:00:00,11:00:00,SE,2
188.0,PCS,SBC,lecture,CE,COMPSB,N,DN,6,609,tuesday,11:15:00,12:15:00,SE,1
189.0,OS,PC,lecture,CE,COMPSB,N,SK,6,609,tuesday,12:15:00,13:15:00,SE,1
190.0,CCN,PC,lecture,CE,COMPSB,N,JS,6,609,tuesday,14:00:00,15:00:00,SE,1
191.0,DSA,M,lab,all,all,A,NR,6,609,tuesday,16:00:00,18:00:00,SE,2
192.0,OS,M,lab,all,all,B,JR,6,606,tuesday,16:00:00,18:00:00,SE,2
193.0,CCN,PC,lecture,CE,COMPSB,N,JS,6,609,wednesday,09:00:00,10:00:00,SE,1
194.0,DAA,PC,lecture,CE,COMPSB,N,PBB,6,609,wednesday,10:00:00,11:00:00,SE,1
195.0,CCN,PC,lab,CE,COMPSB,C,JS,6,603B,wednesday,11:15:00,13:15:00,SE,2
196.0,OS,PC,lab,CE,COMPSB,B,SK,6,603C,wednesday,11:15:00,13:15:00,SE,2
197.0,DAA,PC,lab,CE,COMPSB,D,PBB,6,606B,wednesday,11:15:00,13:15:00,SE,2
198.0,LA,BSC,lab,CE,COMPSB,A,CRG,7,703,wednesday,11:15:00,13:15:00,SE,2
199.0,DSA,M,lab,all,all,B,NR,6,603,wednesday,16:00:00,18:00:00,SE,2
200.0,OS,M,lecture,all,all,N,JR,6,606,wednesday,16:00:00,18:00:00,SE,2
201.0,CCN,PC,lab,CE,COMPSB,D,JS,6,603C,thursday,09:00:00,11:00:00,SE,2
202.0,OS,PC,lab,CE,COMPSB,A,SK,6,606A,thursday,09:00:00,11:00:00,SE,2
203.0,PCS,SBC,lab,CE,COMPSB,B,DN,6,607B,thursday,09:00:00,11:00:00,SE,2
204.0,LA,BSC,lab,CE,COMPSB,C,CRG,7,703,thursday,09:00:00,11:00:00,SE,2
205.0,DAA,PC,lecture,CE,COMPSB,N,PBB,6,609,thursday,11:15:00,12:15:00,SE,1
206.0,OS,PC,lecture,CE,COMPSB,N,SK,6,609,thursday,12:15:00,13:15:00,SE,1
207.0,LA,BSC,lecture,CE,COMPSB,N,CRG,6,609,thursday,14:00:00,15:00:00,SE,1
208.0,FOM-II,BSC(LE),lecture,all,all,DSE,RRS,3,309,thursday,14:00:00,15:00:00,SE,1
209.0,DSA,M,lab,all,all,C,NR,6,603,thursday,16:00:00,18:00:00,SE,2
210.0,OS,M,lab,all,all,C,JR,6,605,thursday,16:00:00,18:00:00,SE,2
211.0,LA,BSC,lecture,CE,COMPSB,N,CRG,6,609,friday,09:00:00,10:00:00,SE,1
212.0,OS,PC,lecture,CE,COMPSB,N,SK,6,609,friday,10:00:00,11:00:00,SE,1
213.0,LA,BSC,lab,CE,COMPSB,B,CRG,7,703,friday,11:15:00,13:15:00,SE,2
214.0,OS,PC,lab,CE,COMPSB,C,AVN,6,603C,friday,11:15:00,13:15:00,SE,2
215.0,DAA,PC,lab,CE,COMPSB,A,PBB,6,607B,friday,11:15:00,13:15:00,SE,2
216.0,PCS,SBC,lab,CE,COMPSB,D,DN,6,609,friday,11:15:00,13:15:00,SE,2
217.0,FOM-II,BSC(LE),lecture,all,all,DSE,RRS,3,309,friday,14:00:00,15:00:00,SE,1
218.0,DAA,PC,lab,CSE,AIML,D,AT,4,406B,monday,09:00:00,11:00:00,SE,2
219.0,OS,PC,lab,CSE,AIML,B,SYC,4,408,monday,09:00:00,11:00:00,SE,2
220.0,PCS,SBC,lab,CSE,AIML,C,SD,4,407,monday,09:00:00,11:00:00,SE,2
221.0,LA,BSC,lab,CSE,AIML,A,SP,4,410C,monday,09:00:00,11:00:00,SE,2
222.0,CCN,PC,lecture,CSE,AIML,N,DDA,4,405,monday,11:15:00,12:15:00,SE,1
223.0,CCN,PC,lecture,CSE,AIML,N,DDA,4,405,monday,12:15:00,13:15:00,SE,1
224.0,FOM-II,BSC(LE),lecture,all,all,N,RRS,3,309,monday,14:00:00,15:00:00,SE,1
225.0,DSA,M,lecture,all,all,N,NR,6,609,monday,16:00:00,18:00:00,SE,2
226.0,OS,M,lab,all,all,A,JR,6,606,monday,16:00:00,18:00:00,SE,2
227.0,DAA,PC,lecture,CSE,AIML,N,AT ,4,405,tuesday,09:00:00,10:00:00,SE,1
228.0,DAA,PC,lecture,CSE,AIML,N,AT,4,405,tuesday,10:00:00,11:00:00,SE,1
229.0,OS,PC,lab,CSE,AIML,D,SYC,4,408,tuesday,11:15:00,13:15:00,SE,2
230.0,LA,BSC,lab,CSE,AIML,B,RM,4,404,tuesday,11:15:00,13:15:00,SE,2
231.0,DAA,PC,lab,CSE,AIML,C,AT,7,702B,tuesday,11:15:00,13:15:00,SE,2
232.0,CCN,PC,lab,CSE,AIML,A,JS,4,412,tuesday,11:15:00,13:15:00,SE,2
233.0,LA,BSC,lecture,CSE,AIML,N,RM,4,405,tuesday,14:00:00,15:00:00,SE,1
234.0,DSA,M,lecture,all,all,N,NR,6,609,tuesday,16:00:00,18:00:00,SE,2
235.0,OS,M,lecture,all,all,N,JR,6,605,tuesday,16:00:00,18:00:00,SE,2
236.0,CCN,PC,lab,CSE,AIML,B,DDA,4,404,wednesday,09:00:00,11:00:00,SE,2
237.0,PCS,SBC,lab,CSE,AIML,D,SD,4,407,wednesday,09:00:00,11:00:00,SE,2
238.0,DAA,PC,lab,CSE,AIML,A,SAK,4,410B,wednesday,09:00:00,11:00:00,SE,2
239.0,LA,BSC,lab,CSE,AIML,C,RM,4,410C,wednesday,09:00:00,11:00:00,SE,2
240.0,CCN,PC,lecture,CSE,AIML,N,DDA,4,405,wednesday,11:15:00,12:15:00,SE,1
241.0,LA,BSC,lecture,CSE,AIML,N,RM,4,405,wednesday,12:15:00,13:15:00,SE,1
242.0,PCS,SBC,lecture,CSE,AIML,N,SD,4,405,wednesday,14:00:00,15:00:00,SE,1
243.0,DSA,M,lecture,all,all,N,NR,6,609,wednesday,16:00:00,18:00:00,SE,2
244.0,OS,M,lab,all,all,B,JR,6,606,wednesday,16:00:00,18:00:00,SE,2
245.0,DAA,PC,lecture,CSE,AIML,N,AT,4,405,thursday,09:00:00,10:00:00,SE,1
246.0,OS,PC,lecture,CSE,AIML,N,SYC,4,405,thursday,10:00:00,11:00:00,SE,1
